,start_time,end_time,line,file_index,mean_pitch,max_pitch,min_pitch,range_pitch,std_pitch,internal_silence,mean_energy,min_energy,max_energy,range_energy,std_energy,POS_prop_ADJ,POS_prop_ADV,POS_prop_DET,POS_prop_NOUN,POS_prop_PROPN,POS_prop_VERB,alliteration,avg_neg,avg_obj,avg_pos,avg_word_len,disconnection,homogeneity,line_len,n_grams,plosive,repetition,rhyme,speaking_rate,tempo,value,duration,tracks,laugh_start,laugh_end,start_sec,end_sec
0,"00:00:05,005","00:00:07,799","[Public Enemy's ""Fight the Power"" playing]",line_0000.wav,49.450943,81.06618,-1.0,82.06618,10.825632,0.012623985572587915,0.019866783,6.5239277e-07,0.057403225,0.057402574000000005,0.011612975,,,,,,,,,,,,,,,,,,,,,2,6.77,"#1, #2, ","9.44, 13.99, ","12.86, 17.34, ",5.0,7.8
1,"00:00:18,184","00:00:21,021",â™ª Swingin' while I'm singin' Givin' what ya gettin'Â â™ª,line_0001.wav,8.759175,153.125,-1.0,154.125,32.60753,0.9141592920353984,0.01988629,0.00243142,0.03871125,0.03627983,0.007856535999999999,0.0,0.0,0.0,0.2,0.2,0.6,4.0,0.125,0.625,0.25,4.222222222222221,0.7553951740264893,0.8888888888888888,9.0,"['swingin_while', 'while_i', 'i_am', 'am_singin', 'singin_givin', 'givin_what', 'what_ya', 'ya_gettin']",0.0,-0.039691321551799774,4.0,3.1723651744800847,1.7624250969333806,1,1.5800000000000018,"#3, ","19.22, ","20.8, ",18.18,21.02
2,"00:00:21,104","00:00:22,522",â™ª Knowin' what I knowÂ â™ª,line_0002.wav,13.185212,88.2,-1.0,89.2,24.415557999999997,0.7361853832442068,0.022562517,0.01248206,0.042158823,0.029676763,0.006861896700000001,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.5,0.0,1.0,0.0,3.75,0.8698912858963013,0.75,4.0,"['knowin_what', 'what_i', 'i_know']",0.0,0.14417245984077454,1.5,2.8208744710860385,2.1156558533145287,1,12.529999999999998,"#4, ","21.62, ","34.15, ",21.1,22.52
3,"00:00:22,605","00:00:26,067","[announcer]  Ladies andÂ gentlemen, welcome toÂ theÂ stage,",line_0003.wav,1.8122964,58.33333199999999,-1.0,59.33333199999999,11.366087,0.942070963070239,0.018696979,0.0059879296,0.03635856,0.030370632,0.0072247214,0.0,0.0,0.0,0.75,0.0,0.25,1.5,0.0,1.0,0.0,8.75,0.4367250204086304,0.75,4.0,"['ladies_andgentlemen', 'andgentlemen_welcome', 'welcome_tothestage']",0.0,0.0,1.5,1.1554015020219528,1.1554015020219528,0,0.0,,,,22.61,26.07
4,"00:00:26,151","00:00:29,779",Maz Jobrani!,line_0004.wav,10.272522,250.56817999999998,-1.0,251.56817999999998,32.235283,0.8310249307479224,0.023231513999999998,0.007477096,0.032299247,0.024822151,0.0056649577,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,5.0,0.0,0.5,2.0,['maz_jobrani'],0.0,0.0,0.5,0.5512679162072767,0.27563395810363833,0,0.0,,,,26.15,29.78
5,"00:00:29,863","00:00:31,698",[cheers and applause],line_0005.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020240007,0.011707873999999998,0.03156504,0.019857166000000002,0.005291595,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,29.86,31.7
6,"00:00:31,781","00:00:34,159",â™ª We've gotÂ toÂ fightÂ theÂ powers That beÂ â™ª,line_0006.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.02017071,0.010209328,0.034824975,0.024615647,0.005680629,0.25,0.0,0.0,0.25,0.0,0.5,2.0,0.0625,0.6875,0.25,6.2,0.7436676025390625,0.8,5.0,"['we_have', 'have_gottofightthepowers', 'gottofightthepowers_that', 'that_be']",0.0,0.0,2.0,2.1026072329688814,1.682085786375105,0,0.0,,,,31.78,34.16
7,"00:00:34,701","00:00:35,869",â™ª Fight the powerÂ â™ª,line_0007.wav,16.7831,62.288136,-1.0,63.288136,23.521513,0.6282608695652174,0.020898595,0.014397305,0.032139335,0.01774203,0.0044096853000000005,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,4.333333333333333,0.39591625332832336,0.6666666666666667,3.0,"['fight_the', 'the_power']",0.0,0.3094387352466583,1.0,2.568493150684933,3.424657534246577,0,0.0,,,,34.7,35.87
8,"00:00:37,370","00:00:38,705",â™ª Fight the powerÂ â™ª,line_0008.wav,6.354845,54.850745999999994,-1.0,55.850745999999994,17.329414,0.8462998102466793,0.018636271,0.010598136999999999,0.030337872000000002,0.019739736,0.0055007813,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,4.333333333333333,0.39591625332832336,0.6666666666666667,3.0,"['fight_the', 'the_power']",0.0,0.3094387352466583,1.0,2.247191011235953,2.996254681647938,0,0.0,,,,37.37,38.7
9,"00:00:39,122","00:00:40,123",â™ª Fight the powerÂ â™ª,line_0009.wav,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.020263358999999998,0.010424847,0.03583587,0.025411022999999998,0.006181002,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,4.333333333333333,0.39591625332832336,0.6666666666666667,3.0,"['fight_the', 'the_power']",0.0,0.3094387352466583,1.0,2.997002997003004,3.9960039960040055,0,0.0,,,,39.12,40.12
