,filename,laughs,start,end,threshold,duration
1,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_1.wav,9.44,12.86,0.7,0.3
2,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_2.wav,13.99,17.34,0.7,0.3
3,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_3.wav,19.22,20.8,0.7,0.3
4,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_4.wav,21.62,34.15,0.7,0.3
5,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_5.wav,43.11,44.43,0.7,0.3
6,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_6.wav,51.38,53.92,0.7,0.3
7,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_7.wav,55.71,58.43,0.7,0.3
8,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_8.wav,59.02,61.06,0.7,0.3
9,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_9.wav,62.55,65.35,0.7,0.3
10,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_10.wav,66.16,67.61,0.7,0.3
11,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_11.wav,69.46,69.8,0.7,0.3
12,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_12.wav,71.3,76.96,0.7,0.3
13,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_13.wav,92.12,93.74,0.7,0.3
14,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_14.wav,95.19,105.02,0.7,0.3
15,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_15.wav,105.98,107.1,0.7,0.3
16,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_16.wav,117.62,125.33,0.7,0.3
17,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_17.wav,133.2,142.49,0.7,0.3
18,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_18.wav,144.72,151.13,0.7,0.3
19,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_19.wav,159.3,160.25,0.7,0.3
20,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_20.wav,171.23,176.63,0.7,0.3
21,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_21.wav,185.95,187.88,0.7,0.3
22,maz.jobrani.immigrant.2017.1080p.webrip.x264.strife-music.wav,/laughs/laugh_22.wav,189.35,190.15,0.7,0.3
