,filename,laughs,start,end,threshold,duration
0,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_0.wav,53.39,86.86,0.7,0.3
1,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_1.wav,91.26,91.63,0.7,0.3
2,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_2.wav,96.86,104.4,0.7,0.3
3,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_3.wav,139.55,141.79,0.7,0.3
4,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_4.wav,167.61,168.26,0.7,0.3
5,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_5.wav,236.31,236.78,0.7,0.3
6,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_6.wav,265.73,267.39,0.7,0.3
7,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_7.wav,274.61,275.71,0.7,0.3
8,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_8.wav,276.55,276.86,0.7,0.3
9,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_9.wav,329.21,330.06,0.7,0.3
10,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_10.wav,332.85,333.23,0.7,0.3
11,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_11.wav,373.44,375.02,0.7,0.3
12,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_12.wav,393.99,395.64,0.7,0.3
13,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_13.wav,423.42,423.93,0.7,0.3
14,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_14.wav,505.92,506.51,0.7,0.3
15,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_15.wav,529.76,530.59,0.7,0.3
16,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_16.wav,549.92,551.08,0.7,0.3
17,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_17.wav,555.64,559.51,0.7,0.3
18,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_18.wav,589.84,590.26,0.7,0.3
19,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_19.wav,631.92,632.4,0.7,0.3
20,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_20.wav,640.32,640.62,0.7,0.3
21,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_21.wav,669.75,670.37,0.7,0.3
22,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_22.wav,695.35,696.19,0.7,0.3
23,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_23.wav,763.02,764.33,0.7,0.3
24,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_24.wav,765.55,766.47,0.7,0.3
25,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_25.wav,884.7,885.85,0.7,0.3
26,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_26.wav,951.1,951.98,0.7,0.3
27,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_27.wav,1020.15,1020.68,0.7,0.3
28,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_28.wav,1129.58,1130.48,0.7,0.3
29,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_29.wav,1201.92,1202.98,0.7,0.3
30,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_30.wav,1221.08,1221.47,0.7,0.3
31,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_31.wav,1240.52,1241.22,0.7,0.3
32,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_32.wav,1244.88,1245.29,0.7,0.3
33,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_33.wav,1259.95,1260.7,0.7,0.3
34,patton.oswalt.annihilation.2017.720p.webrip.x264.strife-music.wav,/laughs/laugh_34.wav,1266.52,1267.17,0.7,0.3
