,filename,laughs,start,end,threshold,duration
0,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_0.wav,23.86,26.96,0.7,0.3
1,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_1.wav,58.87,59.2,0.7,0.3
2,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_2.wav,89.61,90.9,0.7,0.3
3,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_3.wav,93.65,94.04,0.7,0.3
4,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_4.wav,97.53,98.49,0.7,0.3
5,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_5.wav,105.84,107.09,0.7,0.3
6,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_6.wav,125.69,126.37,0.7,0.3
7,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_7.wav,140.28,141.11,0.7,0.3
8,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_8.wav,155.08,156.91,0.7,0.3
9,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_9.wav,161.31,162.54,0.7,0.3
10,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_10.wav,162.91,163.81,0.7,0.3
11,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_11.wav,180.06,182.04,0.7,0.3
12,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_12.wav,190.66,195.18,0.7,0.3
13,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_13.wav,203.46,203.92,0.7,0.3
14,seth.rogens.hilarity.for.charity.2018.proper.webrip.x264.webtiful-music.wav,/laughs/laugh_14.wav,215.94,216.48,0.7,0.3
